Project,Region,Year,SurveyDate,Location,MPA_Group,Type,Designation,Site,Dive,Line,Transect_ID,Habitat_Type,Lat,Lon,Depth (m),Cumulative_Dist (m),Cumulative_Area (m2),TC,Sec,Taxserial,CommonName,SpeciesName,Count,Unusable_Data,Field2
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57162797,-121.9832762,43.5,93.04,180.21,19:03:26,278103806,47,UI nipple sponge,Unidentified Porifera (nipple),14,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57160154,-121.9832614,45.5,96.24,183.54,19:03:31,278103811,159015,Elephant ear tunicate,Polyclinum planum,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57160154,-121.9832614,45.5,96.24,183.54,19:03:31,278103811,47,UI nipple sponge,Unidentified Porifera (nipple),4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57160154,-121.9832614,45.5,96.24,183.54,19:03:31,278103811,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57159079,-121.9832555,45.5,97.53,186.02,19:03:33,278103813,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57157584,-121.9832454,43.8875,99.4,188.45,19:03:36,278103816,47,UI nipple sponge,Unidentified Porifera (nipple),5,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57157108,-121.9832423,43.35,99.99,189.15,19:03:37,278103817,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57157108,-121.9832423,43.35,99.99,189.15,19:03:37,278103817,157256,Giant spined star,Pisaster giganteus,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57156647,-121.9832394,46.1,100.56,189.86,19:03:38,278103818,719222,Red gorgonian,Leptogorgia chilensis,4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57156647,-121.9832394,46.1,100.56,189.86,19:03:38,278103818,47,UI nipple sponge,Unidentified Porifera (nipple),3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57155577,-121.9832326,45.5,101.89,191.57,19:03:40,278103820,159015,Elephant ear tunicate,Polyclinum planum,4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57155577,-121.9832326,45.5,101.89,191.57,19:03:40,278103820,47,UI nipple sponge,Unidentified Porifera (nipple),4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57155577,-121.9832326,45.5,101.89,191.57,19:03:40,278103820,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57155028,-121.983229,45.46,102.57,192.37,19:03:41,278103821,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57154491,-121.9832254,45.42,103.24,193.06,19:03:42,278103822,47,UI nipple sponge,Unidentified Porifera (nipple),6,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57153932,-121.9832221,45.38,103.92,193.67,19:03:43,278103823,159015,Elephant ear tunicate,Polyclinum planum,4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57153352,-121.983219,45.34,104.61,194.88,19:03:44,278103824,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57152763,-121.9832157,45.3,105.33,196.74,19:03:45,278103825,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57152172,-121.9832109,45.5,106.11,198.81,19:03:46,278103826,47,UI nipple sponge,Unidentified Porifera (nipple),6,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57149046,-121.9831886,46.2,110.08,207.04,19:03:52,278103832,47,UI nipple sponge,Unidentified Porifera (nipple),4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57148533,-121.9831862,46.15,110.69,207.9,19:03:53,278103833,47,UI nipple sponge,Unidentified Porifera (nipple),16,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.5714798,-121.9831832,46.1,111.35,208.64,19:03:54,278103834,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.5714798,-121.9831832,46.1,111.35,208.64,19:03:54,278103834,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57147399,-121.9831802,46.05,112.04,209.4,19:03:55,278103835,159015,Elephant ear tunicate,Polyclinum planum,6,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57146236,-121.9831752,46.02,113.39,210.91,19:03:57,278103837,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57145626,-121.983172,46.04,114.12,211.76,19:03:58,278103838,47,UI nipple sponge,Unidentified Porifera (nipple),6,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57145626,-121.983172,46.04,114.12,211.76,19:03:58,278103838,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57143963,-121.9831616,46.1,116.16,214.32,19:04:01,278103841,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57143004,-121.9831584,45.76666667,117.25,215.58,19:04:03,278103843,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57142535,-121.9831571,45.6,117.78,216.11,19:04:04,278103844,47,UI nipple sponge,Unidentified Porifera (nipple),3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57141579,-121.9831547,42.9,118.85,217.32,19:04:06,278103846,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57141053,-121.9831541,42.5,119.43,217.85,19:04:07,278103847,159015,Elephant ear tunicate,Polyclinum planum,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57140493,-121.983153,42.8,120.05,218.43,19:04:08,278103848,47,UI nipple sponge,Unidentified Porifera (nipple),4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57139899,-121.9831515,43.1,120.72,219.07,19:04:09,278103849,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57139899,-121.9831515,43.1,120.72,219.07,19:04:09,278103849,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57139323,-121.98315,43.4,121.37,219.71,19:04:10,278103850,47,UI nipple sponge,Unidentified Porifera (nipple),3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57138766,-121.9831486,43.7,122,220.91,19:04:11,278103851,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57137017,-121.9831398,44,124.08,226.4,19:04:14,278103854,47,UI nipple sponge,Unidentified Porifera (nipple),3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57135388,-121.9831281,43.9,126.16,230.42,19:04:17,278103857,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57134841,-121.9831245,41.2,126.84,231.58,19:04:18,278103858,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57134305,-121.983122,41.4,127.47,232.5,19:04:19,278103859,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57134305,-121.983122,41.4,127.47,232.5,19:04:19,278103859,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57133753,-121.9831191,41.79166667,128.13,233.77,19:04:20,278103860,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57133186,-121.9831158,42.18333333,128.82,235.11,19:04:21,278103861,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57133186,-121.9831158,42.18333333,128.82,235.11,19:04:21,278103861,157251,Pisaster complex,"Pisaster brevispinus, ochraceus, or giganteus",1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57132561,-121.9831126,42.575,129.57,236.57,19:04:22,278103862,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57131881,-121.9831093,42.96666667,130.37,238.16,19:04:23,278103863,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57131203,-121.9831046,43.35833333,131.23,239.87,19:04:24,278103864,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57131203,-121.9831046,43.35833333,131.23,239.87,19:04:24,278103864,157152,UI Henricia,Unidentified Henricia sp.,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57130563,-121.9830991,43.75,132.09,241.59,19:04:25,278103865,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57130563,-121.9830991,43.75,132.09,241.59,19:04:25,278103865,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57129948,-121.9830937,44.14166667,132.92,243.27,19:04:26,278103866,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57129386,-121.9830887,44.53333333,0,0,19:04:27,278103867,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,X,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57129386,-121.9830887,44.53333333,0,0,19:04:27,278103867,719222,Red gorgonian,Leptogorgia chilensis,1,X,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57128847,-121.9830839,44.925,0,0,19:04:28,278103868,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,X,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.5712833,-121.9830792,45.31666667,0,0,19:04:29,278103869,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,X,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57127821,-121.9830748,45.70833333,0,0,19:04:30,278103870,47,UI nipple sponge,Unidentified Porifera (nipple),2.3,X,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57122597,-121.9830546,45.6,0,0,19:04:40,278103880,47,UI nipple sponge,Unidentified Porifera (nipple),1,X,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57120346,-121.983052,49.42,135.41,248.61,19:04:45,278103885,47,UI nipple sponge,Unidentified Porifera (nipple),2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57118799,-121.9830528,49.24,137.11,250.95,19:04:48,278103888,67,UI lobed sponge/tunicate,Unidentified Porifera or Bryozoa,3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57118799,-121.9830528,49.24,137.11,250.95,19:04:48,278103888,50925,California hydrocoral,Stylaster californicus,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57118799,-121.9830528,49.24,137.11,250.95,19:04:48,278103888,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57118799,-121.9830528,49.24,137.11,250.95,19:04:48,278103888,719222,Red gorgonian,Leptogorgia chilensis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57118281,-121.9830522,49.38,137.68,252.72,19:04:49,278103889,47,UI nipple sponge,Unidentified Porifera (nipple),5,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57116464,-121.9830503,49.94,139.69,258.43,19:04:53,278103893,47,UI nipple sponge,Unidentified Porifera (nipple),5,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57112642,-121.9830345,51.2,144.16,268.1,19:05:02,278103902,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.5710904,-121.9830146,51.73333333,148.52,278.52,19:05:10,278103910,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57108024,-121.9830098,51.8,149.72,280.34,19:05:12,278103912,47,UI nipple sponge,Unidentified Porifera (nipple),4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57107502,-121.9830065,51.86666667,150.36,281.44,19:05:13,278103913,157270,Rainbow star,Orthasterias koehleri,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57107502,-121.9830065,51.86666667,150.36,281.44,19:05:13,278103913,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57107502,-121.9830065,51.86666667,150.36,281.44,19:05:13,278103913,47,UI nipple sponge,Unidentified Porifera (nipple),3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57106951,-121.9830034,51.93333333,151.03,282.79,19:05:14,278103914,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57103925,-121.9829881,51.36,154.63,290.03,19:05:19,278103919,47,UI nipple sponge,Unidentified Porifera (nipple),3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57103291,-121.9829857,51.2,155.36,291.59,19:05:20,278103920,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57103291,-121.9829857,51.2,155.36,291.59,19:05:20,278103920,57,UI branched sponge,Unidentified Porifera (branched),4,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57102672,-121.9829827,51.34285714,156.09,293.04,19:05:21,278103921,47,UI nipple sponge,Unidentified Porifera (nipple),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57101463,-121.9829786,51.62857143,157.47,295.47,19:05:23,278103923,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57100218,-121.9829755,51.91428571,158.88,297.72,19:05:25,278103925,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.5709961,-121.9829719,52.05714286,159.62,299.08,19:05:26,278103926,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard_Mixed,36.57094593,-121.9829402,53.1,165.86,306.68,19:05:35,278103935,159015,Elephant ear tunicate,Polyclinum planum,3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard_Mixed,36.57094042,-121.9829384,53.03333333,166.49,308.22,19:05:36,278103936,158344,California sea cucumber,Apostichopus californicus /syn./ Parastichopus californicus,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard_Mixed,36.57094042,-121.9829384,53.03333333,166.49,308.22,19:05:36,278103936,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard_Mixed,36.57091461,-121.9829266,52.06666667,169.53,313.9,19:05:41,278103941,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57090928,-121.9829251,53.4,170.13,314.62,19:05:42,278103942,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57090928,-121.9829251,53.4,170.13,314.62,19:05:42,278103942,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57089875,-121.9829212,52.41666667,171.34,316.18,19:05:44,278103944,57,UI branched sponge,Unidentified Porifera (branched),3,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57089369,-121.9829184,51.925,171.95,316.88,19:05:45,278103945,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard_Mixed,36.57086437,-121.9829171,53.3,175.2,319.49,19:05:51,278103951,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57085503,-121.982913,53.16666667,176.3,320.9,19:05:53,278103953,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57085044,-121.9829116,53.1,176.82,321.27,19:05:54,278103954,57,UI branched sponge,Unidentified Porifera (branched),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.5708414,-121.9829108,52.96666667,177.82,322.07,19:05:56,278103956,157011,Red sea star,Mediaster aequalis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57083226,-121.9829073,52.83333333,178.87,323.05,19:05:58,278103958,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57080847,-121.9828991,52.9,181.63,326.03,19:06:03,278103963,719222,Red gorgonian,Leptogorgia chilensis,5,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57079436,-121.9828935,52.5,183.26,328.42,19:06:06,278103966,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57078938,-121.9828917,49.9,183.83,329.38,19:06:07,278103967,57,UI branched sponge,Unidentified Porifera (branched),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57077862,-121.9828874,53.1,185.08,331,19:06:09,278103969,48631,Gray puffball sponge,Craniella arb,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57077285,-121.9828848,50.4,185.75,331.65,19:06:10,278103970,159015,Elephant ear tunicate,Polyclinum planum,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57077285,-121.9828848,50.4,185.75,331.65,19:06:10,278103970,57,UI branched sponge,Unidentified Porifera (branched),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57077285,-121.9828848,50.4,185.75,331.65,19:06:10,278103970,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57077285,-121.9828848,50.4,185.75,331.65,19:06:10,278103970,719222,Red gorgonian,Leptogorgia chilensis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57076672,-121.9828819,50.74,186.47,332.34,19:06:11,278103971,719222,Red gorgonian,Leptogorgia chilensis,2,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57076052,-121.9828796,51.08,187.18,333.01,19:06:12,278103972,157011,Red sea star,Mediaster aequalis,1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57076052,-121.9828796,51.08,187.18,333.01,19:06:12,278103972,57,UI branched sponge,Unidentified Porifera (branched),1,,
CCMPA 2008,Central,2008,10/23/2008,Cypress Point,Point Lobos,Reference,Reference,PL11,431,380,CCMPA 2008_431_380,Hard,36.57075446,-121.9828777,51.42,187.87,333.89,19:06:13,278103973,719222,Red gorgonian,Leptogorgia chilensis,1,,
